,STOR_COORD_Y,KCP_SITE_KEY,DLV_EXPT_TIME,ADDR_2,PARKING_YN,STOR_CD,KAKAO_PAY_CID,DLV_FNSH_TIME,SELLER_KEY,KORD_FNSH_TIME,STOR_STATUS,KORD_YN,KMON_FNSH_TIME,KMON_YN,ORD_MIN_PRC,KCP_SITE_CD,OPER_24_YN,OPER_YN,KING_ORDER_STATE_OF_WEEK_DAY,TEL_NO,DLV_START_TIME,NPAY_CHAIN_ID,KORD_START_TIME,STOR_NM,DIRVE_TH,STOR_COORD_X,ADDR_1,PRODUCT_ID,KMON_START_TIME,DISTANCE,DLVYN,STORE_TIME,CP_ID,HAS_NIGHT_STORE,KING_ORDER_START_DT,KING_ORDER_FNSH_DT,DELIVERY_START_DT,DELIVERY_FNSH_DT
0,35.8179358786,4Di5.1zP.K.UjHQly2npM0K__,85~95, ,0,00000242,C457670128,2359,BKR00000242,2345,1,1,0000,0,12000,B1884,1,Y,"[{""dayOfWeek"":""1"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""2"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""3"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""4"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""5"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""6"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""7"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""}]",053-632-0889,0000,L1F6NlU1b3dZYTd,0800,상인SK점,1,128.5354696198,대구광역시 달서구 월배로 200,BKR00000242_EASYP,0000,0.0,1,Cleaning Day(Close): 매월 넷째주 월요일 02:00~06:00,BKR00000242,N,,,,
1,37.5164892143,3-ztm9OSPk0pa3MfpyHQU.l__,55~65, ,0,00000245,C458820130,2359,BKR00000245,2345,1,1,0000,0,12000,B1878,0,Y,"[{""dayOfWeek"":""1"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""2"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""3"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""4"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""5"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""6"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""},{""dayOfWeek"":""7"",""kingOrderCloseTime"":""23:45"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""10:00""}]",032-506-3643,1000,ZVI0bytRd0hKenJ,1000,삼산SK점,1,126.7318419734,인천광역시 부평구 장제로 347,BKR00000245_EASYP,0000,0.0,1,연중무휴 (10:00~24:00),BKR00000245,N,,,,
2,37.3631656087,14dN7XqpFIYVhgfg.rPzO7L__,70~80, ,0,00000032,C422250072,2259,BKR00000032,2345,1,1,,0,12000,B1874,1,Y,"[{""dayOfWeek"":""1"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""2"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""3"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""4"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""5"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""6"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""7"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""}]",031-716-3737,1000,bnBaTTk5WDdTWVk,0800,분당상록점,0,127.1144372171,경기도 성남시 분당구 정자로 88,BKR00000032_EASYP,,0.0,1,Cleaning Day(Close): 매월 첫째주 월요일 02:00~06:00,BKR00000032,Y,,,,
3,35.1551012,30JnNQT2pxg6HYdK6sxTkp7__,75~85, ,0,00000045,C423070073,2259,BKR00000045,2345,1,1,,0,12000,G6458,1,Y,"[{""dayOfWeek"":""1"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""2"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""3"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""4"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""5"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""6"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""7"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""}]",051-818-9836,1000,RFd1Q2djODFReWR,0900,부산태화점,0,129.0597308,부산광역시 부산진구 서전로10번길 64,BKR00000045_EASYP,,0.0,1,Cleaning Day(Close): 매월 넷째주 월요일 02:00~06:00,BKR00000045,Y,,,,
4,37.5140993435,3Jcd63LLfduDh-YWlSNS3j6__,85~95, ,0,00000055,C424520075,2359,BKR00000055,2345,1,1,,0,12000,B2977,0,Y,"[{""dayOfWeek"":""1"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""2"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""3"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""4"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""5"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""6"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""7"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""}]",02-816-2176,0900,QTdjeVhLYlVvZ3J,0900,노량진점,0,126.9448245088,서울특별시 동작구 노량진로 169,BKR00000055_EASYP,,0.0,1,연중무휴 (09:00~24:00) ,BKR00000055,N,,,,
5,37.6527753,2cNs97y6Dkm8ZbUgg2Fb54T__    ,55~65, ,0,00000426,CT05281376,2300,BKR00000426,2245,1,1,,0,12000,A8MXX,0,Y,,070-7462-6839,1000,ZkNqV1ZBTlFmUjh,0900,창동역점,0,127.0513676,서울특별시 도봉구 노해로 389,BKR00000426_EASYP,,0.0,1,연중무휴 (09:00~23:00) ,BKR00000426,N,,,,
6,37.2009814,3Z5SdSrDiFpcKNjVh7.6aG7__,55~65, ,0,00000423,CT38293854,2300,BKR00000423,2245,1,1,,0,12000,A8MXU,0,Y,,070-7462-6836,1000,SnF2akFLMm9zYWZ,1000,화성시청점,0,126.8260478,경기도 화성시 남양읍 시청로 113,BKR00000423_EASYP,,0.0,1,"월~금(10:00~23:00), 주말(09:00~23:00)",BKR00000423,N,,,,
7,37.5254958,0wD6OK9BAaNE4fzvuXHVZnT__,75~85, ,0,00000427,CT86667908,2200,BKR00000427,2145,1,1,,0,12000,A8MXY,0,Y,,070-7462-6840,1000,YS8zck1zZUJIVGp,1000,양평점,0,126.8913574,서울특별시 영등포구 선유로 130,BKR00000427_EASYP,,0.0,1,연중무휴 (10:00~22:00) ,BKR00000427,N,,,,
8,37.3677079,142YpbBl08pmjSl7hPqlNJL__,60~70, ,0,00000428,CT77501538,2359,BKR00000428,2345,1,1,,0,12000,A8MY0,0,Y,,070-7462-6841,1000,Q0dRN0FHZ2F5d3Q,0900,배곧아브뉴프랑점,0,126.7284674,경기도 시흥시 서울대학로 264번길 35,BKR00000428_EASYP,,0.0,1,연중무휴 (09:00~24:00) ,BKR00000428,N,,,,
9,37.6587126844,2ojWH0zybFtjdmPLuYrLvQ4__,55~65, ,0,00000067,C426040077,2359,BKR00000067,2345,1,1,0000,0,12000,B1856,0,Y,"[{""dayOfWeek"":""1"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""2"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""3"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""4"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""5"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""6"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""},{""dayOfWeek"":""7"",""kingOrderOpenYn"":""Y"",""kingOrderOpenTime"":""09:00"",""kingOrderCloseTime"":""23:45""}]",02-997-0233,0900,VkVwa3JMRWZhV0h,0900,쌍문점,0,127.0353725363,서울특별시 도봉구 도당로 6,BKR00000067_EASYP,0000,0.0,1,연중무휴 (09:00~24:00) ,BKR00000067,N,,,,
