,d1,d2
0,서울,서초구
1,서울,강남구
2,서울,강남구
3,서울,강남구
4,서울,강남구
5,서울,강남구
6,서울,강남구
7,서울,강남구
0,서울,강동구
1,서울,강동구
0,서울,강북구
0,서울,강서구
1,서울,강서구
2,서울,강서구
3,서울,강서구
4,서울,강서구
0,서울,관악구
1,서울,관악구
2,서울,관악구
3,서울,관악구
0,서울,광진구
1,서울,광진구
0,서울,구로구
0,서울,금천구
1,서울,금천구
0,서울,노원구
1,서울,노원구
2,서울,노원구
0,경기,남양주시
0,경기,부천시
0,경기,부천시
1,경기,부천시
2,경기,부천시
0,경기,성남시
1,경기,성남시
2,경기,성남시
3,경기,성남시
4,경기,성남시
0,경기,성남시
1,경기,성남시
0,경기,수원시
0,경기,수원시
1,경기,수원시
2,경기,수원시
3,경기,수원시
0,경기,안산시
0,경기,안성시
0,경기,안양시
1,경기,안양시
0,경기,안양시
0,경기,양주시
0,경기,오산시
0,경기,용인시
0,경기,용인시
1,경기,용인시
0,경기,용인시
0,경기,의정부시
1,경기,의정부시
0,경기,이천시
0,경기,파주시
1,경기,파주시
2,경기,파주시
0,경기,평택시
0,경기,하남시
1,경기,하남시
0,경기,화성시
0,부산,금정구
0,부산,남구
0,부산,부산진구
1,부산,부산진구
0,부산,북구
0,부산,사상구
0,부산,사하구
0,대구,달서구
1,대구,달서구
2,대구,달서구
0,대구,북구
1,대구,북구
0,대구,서구
0,대구,수성구
1,대구,수성구
2,대구,수성구
0,대구,중구
0,인천,계양구
0,인천,미추홀구
0,인천,남동구
1,인천,남동구
2,인천,남동구
0,인천,부평구
0,인천,서구
1,인천,서구
0,인천,연수구
0,인천,중구
1,인천,중구
0,광주,광산구
0,광주,동구
0,광주,북구
0,대전,서구
1,대전,서구
0,대전,유성구
1,대전,유성구
0,대전,중구
0,울산,남구
0,울산,동구
0,세종특별자치시,가람동
0,강원,원주시
0,강원,춘천시
1,강원,춘천시
0,경기,고양시
1,경기,고양시
0,경기,고양시
0,경기,고양시
1,경기,고양시
0,경기,광명시
1,경기,광명시
0,경기,구리시
0,경기,군포시
1,경기,군포시
0,경기,김포시
1,경기,김포시
0,경남,김해시
0,경남,양산시
0,경남,창원시
0,경북,경산시
0,경북,구미시
0,전남,목포시
0,전남,순천시
0,전북,전주시
1,전북,전주시
0,제주특별자치도,서귀포시
0,충남,당진시
0,충남,아산시
0,충남,천안시
0,충남,천안시
1,충남,천안시
0,충북,청주시
