,shop_name,d1,d2
0,능평삼거리,경기,광주시
0,하나로마트춘천퇴계,강원,춘천시
0,롯데마트부평,인천,부평구
0,가평휴게소(상),경기,가평군
0,아산장재,충남,아산시
0,수원파장,경기,수원시
0,롯데더몰여수,전남,여수시
0,김포마산,경기,김포시
0,신정네거리역,서울,양천구
0,대구성당D/T,대구,달서구
0,진주혁신,경남,진주시
0,영암대불,전남,영암군
0,안산사동,경기,안산시
0,의정부고산,경기,의정부시
0,용인휴게소(하),경기,용인시
0,진영휴게소(하),경남,김해시
0,포항에비뉴,경북,포항시
0,송도달빛공원,인천,연수구
0,광명역사,경기,광명시
0,문경시청,경북,문경시
0,청계산입구역,서울,서초구
0,대전목원대,대전,서구
0,원주봉산,강원,원주시
0,무안,전남,무안군
0,안산그랑시티자이,경기,안산시
0,시화거북섬,경기,시흥시
0,인천왕길역,인천,서구
0,홈플러스강동,굽은다리역,앞
0,서천장항,충남,서천군
0,경기북부청사,경기,의정부시
0,송도랜드마크시티,인천,연수구
0,청주동남,충북,청주시
0,남양주덕소,경기,남양주시
0,동탄산척,경기,화성시
0,감일,감일백제로,109
0,대구연경,대구,동구
0,홈플러스월드컵,서울,마포구
0,DMC향동,경기,고양시
0,김포풍무,경기,김포시
0,논산내동,충남,논산시
0,세종반곡,세종,한누리대로
0,남양주화도D/T,경기,남양주시
0,천안나사렛,충남,천안시
0,대구불로봉무,대구,동구
0,대구장기,대구,달서구
0,광주주월,광주,남구
0,부산동아대,부산,사하구
0,구미선산,경북,구미시
0,대구침산,대구,북구
0,시흥은계,경기,시흥시
0,원주단관,강원,원주시
0,충주호암,충북,충주시
0,천안역사,충남,천안시
0,안양석수,경기,안양시
0,경기광주역,경기,광주시
0,청주남문성안길,충북,청주시
0,김포고촌,경기,김포시
0,부평역,인천,부평구
0,오송역사,충북,청주시
0,고덕국제,경기,평택시
0,양양,강원,양양군
0,제주함덕,제주,제주시
0,광주효천,광주,남구
0,비발디파크,강원,홍천군
0,울산송정,울산,북구
0,전주법원,전북,전주시
0,동탄호수공원,경기,화성시
0,용산역사,서울,용산구
0,수원당수,경기,수원시
0,천안신당,충남,천안시
0,이천송정,경기,이천시
0,이천,경기,이천시
0,홈플러스북수원,경기,수원시
0,구산역,서울,은평구
0,평택서정,경기,평택시
0,마곡역,서울,강서구
0,거제고현,경남,거제시
0,광주운천,광주,서구
0,경남산청,경남,산청군
0,원주기업도시,강원,원주시
0,홈플러스칠곡,대구,북구
0,군포송정지구,경기,군포시
0,세종고운,세종,마음안1로
0,세종보람디엠시티,세종,한누리대로
0,진주초장,경남,진주시
0,홍은포방,서울,서대문구
0,세종소담,세종,한누리대로
0,용인동백,경기,용인시
0,대구옥포,대구,달성군
0,대구삼덕,대구,중구
0,송산새솔동,경기도,화성시
0,홈플러스동광주,광주,북구
0,광주운리,광주,서구
0,진주대안,경남,진주시
0,청주테크노폴리스,충청북도,청주시
0,평택포승,경기,평택시
0,롯데광복,부산,중구
0,대구황금네거리,대구,수성구
0,과천렛츠런파크,경기,과천시
0,제주공항국내선탑승,제주,제주시
0,마산로봇랜드,경상남도,창원시
0,전주에코,전라북도,전주시
0,대구서성네거리,대구,중구
0,다산진건,경기,남양주시
0,진도,전남,진도군
0,홈플러스간석,인천,남동구
0,평창진부,강원,평창군
0,홈플러스창원,경남,창원시
0,당진합덕,충남,당진시
0,판교D/T,경기,성남시
0,이대,서울,서대문구
0,이천마장,경기,이천시
0,전주시청,전북,전주시
0,경남의령,경남,의령군
0,전북대,전북,전주시
0,익산제일,전북,익산시
0,화성비봉,경기,화성시
0,제천강저,충북,제천시
0,메가마트동래,부산,동래구
0,김해장유,경남,김해시
0,부천송내D/T,경기,부천시
0,롯데백인천터미널,인천,남구
0,광주첨단,광주,광산구
0,홈플러스광주하남,광주,광산구
0,수원영통,경기,수원시
0,창원대동백화점,경남,창원시
0,구미산동,경북,구미시
0,롯데마트영통,경기,수원시
0,미사역,경기,하남시
0,진해자은,경남,창원시
0,수원고색,경기,수원시
0,전북진안,진안군,진안읍
0,동탄주거단지,경기,화성시
0,안성중앙대,경기,안성시
0,영남대D/T,경북,경산시
0,홈플러스중계,서울,노원구
0,광교,경기,수원시
0,가평설악,경기,가평군
0,부산괴정,부산,사하구
0,경남대,경남,창원시
0,서산해미,충남,서산시
0,서산테크노밸리,충남,서산시
0,하나로제주성산,제주,서귀포시
0,파주야당역,경기,파주시
0,밀양하남,경남,밀양시
0,인천도화,인천,남구
0,광주퇴촌,경기,광주시
0,여수예술랜드,전남,여수시
0,용인남사,경기도,용인시
0,장생포,울산,남구
0,용인송전,경기,용인시
0,왕십리역사,서울,성동구
0,화곡역,서울,강서구
0,홈플러스울산남구,울산,남구
0,파주광탄,경기,파주시
0,부산서동,부산,금정구
0,인천가정,인천,서구
0,순천조례,전남,순천시
0,롯데마트동래,부산,동래구
0,서충주신도시,충북,충주시
0,대전세이,대전,중구
0,밀양삼문,경남,밀양시
0,방배역,서울,서초구
0,안동문화의거리,경북,안동시
0,경북의성,경북,의성군
0,오남어람,경기,남양주시
0,전남곡성,전남,곡성군
0,해운대D/T,부산,해운대구
0,강남일원,서울,강남구
0,금정역,경기,군포시
0,서면지하상가,부산,부산진구
0,경북신영주,경북,영주시
0,음성삼성,충북,음성군
0,여수죽림,전남,여수시
0,원주흥업,강원,원주시
0,동탄CGV,경기,화성시
0,창천,서울,서대문구
0,김포국제공항국내선청사4F,서울,강서구
0,부산연지,부산,부산진구
0,평택세교,경기,평택시
0,평택진위D/T,경기,평택시
0,청주옥산,충북,청주시
0,춘천장학,강원,춘천시
0,시흥현대시장,서울,금천구
0,인천공항제2여객터미널3층,인천,중구
0,부산광안역,부산,수영구
0,인천공항제2여객터미널1층,인천공항,제2여객터미널
0,구리갈매,경기,구리시
0,당진기지시,충남,당진시
0,포항법원,경북,포항시
0,순천용당,전남,순천시
0,울산삼산D/I,울산,남구
0,구미신평D/T,경북,구미시
0,보라매타운,서울,관악구
0,진해남문,경남,창원시
0,시흥휴게소,경기,시흥시
0,청량리역사,서울,동대문구
0,용인시청D/T,경기,용인시
0,전북장수,전북,장수군
0,목동킴스클럽,서울,양천구
0,롯데마트김포한강신도시,경기,김포시
0,부산지사,부산,강서구
0,경주보문,경북,경주시
0,벌교,전남,보성군
0,용인백암,경기,용인시
0,울릉도,경북,울릉군
0,롯데속초리조트,강원,속초시
0,내린천휴게소,강원,인제군
0,의정부낙양,경기,의정부시
0,양주옥정,경기,양주시
0,롯데마트시흥배곧,경기,시흥시
0,울산역사,울산,울주군
0,송파하비오,서울,송파구
0,광주하남2지구,광주,광산구
0,충북혁신도시,충북,음성군
0,배곧신도시,경기,시흥시
0,제주표선해변,제주,서귀포시
0,하나로고양,경기,고양시
0,부산남산정역,부산,북구
0,울산정자해변,울산,북구
0,롯데마트서울양평,서울,영등포구
0,부산전포,부산,부산진구
0,해운대백병원,부산,해운대구
0,신부산역사,부산,동구
0,양주광적,경기,양주시
0,천안불당,충남,천안시
0,울산우정,울산,중구
0,하나로마트광주수완,광주,광산구
0,대전죽동,대전,유성구
0,향남2신도시,경기,화성시
0,익산역,전북,익산시
0,백령도,인천,옹진군
0,평내,경기,남양주시
0,인천서구,인천,서구
0,전주평화,전북,전주시
0,아산테크노밸리,충남,아산시
0,진주상봉,경남,진주시
