,기업명,기업코드,현재가,매도호가,전일대비,매수호가,등락률,전일가,거래량,시가,거래대금,고가,액면가,저가,상한가,전일상한,하한가,전일하한,PER,EPS,52주 최고,52주 최저,시가총액,상장주식수,외국인현재,자본금
0,DRB동일,4840,7370,7370,20,7360,+0.27,7350,15014,7310,110,7380,500,7310,9550,9540,5150,5140,48.17,153,10650,6080,1469,19930000,441,9965
1,DSR,155660,6330,6340,210,6330,-3.21,6540,136824,6540,870,6580,500,6300,8500,8430,4580,4550,9.65,656,8800,3615,1013,16000000,241,8000
2,GS글로벌,1250,2710,2710,65,2705,-2.34,2775,437858,2775,1191,2775,2500,2700,3605,3605,1945,1945,-2.62,-1036,3350,1520,2237,82533764,3200,206334
3,HDC현대산업개발,294870,31050,31050,100,31000,-0.32,31150,265921,31200,8251,31200,5000,30850,40450,40150,21850,21650,9.89,3140,33400,19700,20464,65907330,7530,329536
4,KEC,92220,2330,2335,5,2330,+0.22,2325,1084276,2340,2550,2395,500,2310,3020,3000,1630,1620,-8.89,-262,3545,737,2719,116706940,4378,58353
5,KG동부제철,16380,16750,16750,550,16700,+3.40,16200,489931,16350,8203,17050,5000,16200,21050,21350,11350,11550,18.57,902,25150,7600,16751,100008897,1161,500044
6,KG케미칼,1390,38450,38450,2950,38400,+8.31,35500,934484,35700,35216,38950,5000,35450,46150,45850,24850,24750,6.37,6039,45700,13450,5332,13866096,468,71638
7,KTis,58860,2860,2860,65,2855,-2.22,2925,180462,2925,518,2925,500,2845,3800,3780,2050,2040,13.75,208,3580,2085,995,34802000,2531,17401
8,LG이노텍,11070,227000,227000,2500,226500,-1.09,229500,203249,230000,46124,230500,5000,223500,298000,293000,161000,158000,13.20,17195,245500,141500,53724,23667107,7357,118335
9,LG전자,66570,157500,158000,9000,157500,-5.41,166500,2156054,165000,344810,165500,5000,157500,216000,213000,117000,115000,14.67,10735,193000,70600,257745,163647814,52297,818239
10,LG헬로비전,37560,7270,7290,130,7270,-1.76,7400,583583,7440,4279,7500,2500,7270,9620,9710,5180,5230,-1.82,-4001,9940,3750,5630,77446865,4046,193617
11,OCI,10060,114000,114500,4000,114000,-3.39,118000,503178,118500,58064,118500,5000,113500,153000,162500,83000,87500,-17.87,-6379,147000,53300,27188,23849371,3541,127246
12,SK이노베이션,96770,253000,253500,5000,253000,-1.94,258000,415146,258500,105687,259000,5000,253000,335000,338500,181000,182500,-23.92,-10575,327500,119500,233938,92465564,21180,462327
13,STX,11810,7060,7060,60,7050,+0.86,7000,78333,7050,556,7280,2500,6990,9100,9150,4900,4930,-6.46,-1093,15950,4860,1417,20068300,92,50170
14,WISCOM,24070,4600,4600,80,4595,-1.71,4680,111594,4725,514,4725,500,4580,6080,6080,3280,3280,-83.64,-55,6900,2070,705,15326438,633,7663
15,갤럭시아에스엠,11420,2170,2175,30,2170,+1.40,2140,498627,2170,1096,2300,500,2135,2780,2800,1500,1510,54.25,40,2650,1265,598,27549644,901,13774
16,경농,2100,18000,18050,700,18000,+4.05,17300,3278515,17550,59469,18800,500,17050,22450,22150,12150,11950,28.17,639,19800,10950,3514,19522575,310,10845
17,경동인베스트,12320,40400,40400,0,40200,0.00,40400,1802,40400,72,40550,5000,40200,52500,53400,28300,28850,6.73,6004,50900,24900,955,2365023,321,11825
18,경인전자,9140,32800,32800,200,32600,-0.61,33000,16734,32900,544,32900,5000,32150,42900,45100,23100,24300,30.77,1066,42300,17150,515,1570797,249,7853
19,국도화학,7690,94900,94900,5800,94800,+6.51,89100,639815,102000,63059,108500,5000,92500,115500,115000,62400,62000,13.65,6954,94000,36750,5514,5810616,1643,29053
20,국동,5320,3540,3540,30,3535,-0.84,3570,306691,3575,1081,3600,500,3480,4640,4575,2500,2465,8.37,423,5280,2930,1906,53843288,1343,26921
21,극동유화,14530,4625,4630,40,4625,+0.87,4585,165580,4590,769,4725,500,4570,5960,6040,3210,3255,23.36,198,6840,3015,1613,34869420,756,17434
22,기아,270,83600,83700,2700,83600,-3.13,86300,2723638,86000,230121,86100,5000,83600,112000,111500,60500,60300,15.02,5567,102000,38900,338884,405363347,135010,2139316
23,까뮤이앤씨,13700,2425,2425,55,2420,-2.22,2480,672398,2480,1647,2490,500,2410,3220,3220,1740,1740,17.70,137,3835,1095,1095,45152280,1035,22576
24,대덕전자,353200,15600,15650,300,15600,-1.89,15900,532382,15900,8346,15950,500,15550,20650,20850,11150,11250,195.00,80,17900,9790,7709,49416925,4045,24708
25,대우건설,47040,7450,7450,20,7440,+0.27,7430,2325322,7440,17151,7450,5000,7290,9650,9640,5210,5200,8.37,890,9540,2685,30964,415622638,40882,2078113
26,대웅,3090,37050,37100,250,37050,-0.67,37300,536816,37700,20339,38550,500,37000,48450,47550,26150,25650,25.03,1480,86700,20700,21542,58141980,2093,29070
27,덴티움,145720,72200,72200,2300,72100,-3.09,74500,84573,74000,6138,74400,500,71600,96800,94300,52200,50900,28.79,2508,75000,33350,7992,11068830,2279,6184
28,두산인프라코어,42670,16150,16150,250,16100,-1.52,16400,1363752,16400,21947,16400,5000,15850,21300,21250,11500,11450,15.37,1051,19350,6980,12647,78309228,7080,391546
29,두산중공업,34020,21750,21800,800,21750,-3.55,22550,9077952,22400,199688,22500,5000,21550,29300,29300,15800,15800,-12.22,-1780,32000,8610,111249,511489619,26287,2557448
30,디피씨,26890,13150,13150,350,13100,-2.59,13500,523860,13500,6924,13550,500,13050,17550,17550,9450,9450,31.61,416,21900,7940,5481,41678175,1653,20839
31,락앤락,115390,13250,13250,0,13200,0.00,13250,69524,13300,916,13350,500,13050,17200,17600,9300,9500,48.18,275,17000,10000,7024,53007638,38841,27500
32,롯데정보통신,286940,41150,41150,150,41100,+0.37,41000,69203,40750,2841,41500,5000,40550,53300,53300,28700,28750,16.91,2433,44700,31700,6336,15396331,430,76981
33,마니커,27740,679,680,7,679,-1.02,686,1012374,686,689,687,500,679,891,887,481,479,-5.26,-129,838,640,1348,198472594,3796,99236
34,메리츠증권,8560,4910,4915,90,4910,-1.80,5000,1420586,5010,7037,5030,1000,4875,6500,6430,3500,3465,5.43,905,5050,3070,33473,681730579,95105,681730
35,명문제약,17180,5620,5620,10,5610,+0.18,5610,292977,5580,1647,5740,500,5540,7290,7350,3930,3970,-8.24,-682,11750,4970,1908,33953454,381,16976
36,모두투어리츠,204210,4105,4105,80,4100,-1.91,4185,27369,4230,112,4230,402,5440,5460,2930,2945,22.31,184,6330,2670,321억원,78268,95천주,39134,5
37,부국증권,1270,24500,24500,50,24450,-0.20,24550,3198,24550,77,24550,5000,24200,31900,31750,17200,17150,4.57,5356,27450,18950,2541,10369886,112,51849
38,삼성SDI,6400,741000,742000,24000,741000,-3.14,765000,309922,761000,231057,762000,5000,739000,994000,986000,536000,532000,72.58,10209,818000,383500,509545,68764530,29959,348472
39,삼성엔지니어링,28050,23350,23400,600,23350,-2.51,23950,2429460,24000,57032,24050,5000,23200,31100,31500,16800,17000,15.75,1483,28150,9960,45766,196000000,60510,980000
40,삼성출판사,68290,41650,41650,200,41600,+0.48,41450,216208,41600,9068,42800,500,41350,53800,53100,29050,28650,7.81,5335,59000,17700,4165,10000000,53,5000
41,삼성화재해상보험,810,214500,215000,2000,214500,-0.92,216500,78749,215000,16976,218000,500,214500,281000,280500,152000,151500,10.69,20066,226000,162500,101619,47374837,22900,24802
42,삼영화학공업,3720,3255,3260,65,3255,-1.96,3320,784282,3310,2584,3375,500,3255,4315,4390,2325,2370,250.38,13,4760,1575,1107,34000000,705,17000
43,삼호개발,10960,6110,6110,70,6100,-1.13,6180,174923,6210,1065,6210,500,6020,8030,8060,4330,4340,7.97,767,7280,3800,1528,25000000,1314,12500
44,상상인증권,1290,1255,1255,5,1250,-0.40,1260,92222,1260,114,1265,1000,1225,1635,1635,885,885,46.48,27,1610,950,1218,97069134,1254,98372
45,선진,136490,15700,15750,300,15700,-1.87,16000,94022,15950,1475,16000,500,15500,20800,20700,11200,11200,4.23,3709,22700,9250,3733,23779604,3445,11889
46,세기상사,2420,6160,0,0,0,0.00,6160,0,0,0,0,500,0,8000,8000,4320,4320,-16.74,-368,65500,60100,251,4075920,39,2037
47,세방전지,4490,87400,87400,2300,87300,-2.56,89700,87012,89500,7654,89600,500,87400,116500,117000,62800,63100,15.86,5511,146500,26200,12236,14000000,3562,7000
48,세아제강지주,3030,78300,78700,800,78300,-1.01,79100,21443,78200,1697,80400,5000,77800,102500,103500,55400,56000,11.86,6602,88800,38600,3243,4141657,227,20708
49,신한알파리츠,293940,8000,8000,80,7950,+1.01,7920,66839,7910,527,8000,784,10250,10200,5550,5510,77.67,103,8840,6420,4186억원,523301,888천주,52330,5
50,신한지주,55550,39150,39200,900,39150,-2.25,40050,1850366,40250,72802,40250,5000,38800,52000,51600,28050,27800,5.49,7126,43250,27100,202249,516599554,310714,2608176
